Power 0B,Power 1Y,Power 2G,Power 3W,Time,Trial Number
2228.00,5856.00,4054.00,0.00,14359.00,0
2232.00,5856.00,3860.00,0.00,14399.00,0
2268.00,5816.00,3948.00,0.00,14439.00,0
2248.00,5724.00,4038.00,0.00,14479.00,0
2238.00,5786.00,4070.00,0.00,14520.00,0
2278.00,102.00,4018.00,0.00,14560.00,0
2254.00,1210.00,4588.00,0.00,14600.00,0
2330.00,1524.00,4978.00,0.00,14641.00,0
2306.00,1550.00,4954.00,0.00,14681.00,0
2288.00,1602.00,4882.00,0.00,14722.00,0
2298.00,1606.00,4814.00,0.00,14763.00,0
2294.00,1536.00,4968.00,0.00,14803.00,0
2304.00,1636.00,1130.00,0.00,14844.00,0
2284.00,1654.00,1590.00,0.00,14885.00,0
2232.00,1672.00,1644.00,0.00,14925.00,0
2310.00,1628.00,1662.00,0.00,14966.00,0
2290.00,1648.00,1638.00,0.00,15006.00,0
2340.00,1674.00,1684.00,0.00,15047.00,0
2306.00,1668.00,1658.00,0.00,15088.00,0
2252.00,1688.00,1638.00,0.00,15128.00,0
2288.00,1658.00,1708.00,0.00,15169.00,0
2274.00,1664.00,1600.00,0.00,15209.00,0
2264.00,1668.00,1638.00,0.00,15249.00,0
8796.00,1626.00,1638.00,0.00,15290.00,0
7482.00,1668.00,1602.00,0.00,15330.00,0
7128.00,1662.00,1618.00,0.00,15371.00,0
7118.00,1704.00,1638.00,0.00,15411.00,0
7074.00,1632.00,1662.00,0.00,15452.00,0
7012.00,1654.00,1672.00,0.00,15493.00,0
6996.00,1622.00,1636.00,0.00,15533.00,0
7032.00,1654.00,1688.00,0.00,15574.00,0
7006.00,9958.00,1616.00,0.00,15614.00,0
6946.00,6996.00,1672.00,0.00,15655.00,0
7094.00,6630.00,1622.00,0.00,15696.00,0
4872.00,5224.00,1632.00,0.00,15736.00,0
3602.00,5660.00,1576.00,0.00,15777.00,0
3320.00,5404.00,1540.00,0.00,15818.00,0
3044.00,5404.00,1564.00,0.00,15858.00,0
3054.00,4718.00,5976.00,0.00,15899.00,0
3136.00,4282.00,4328.00,0.00,15939.00,0
3234.00,3856.00,4034.00,0.00,15980.00,0
348.00,3920.00,3992.00,0.00,16020.00,0
1098.00,3618.00,3604.00,0.00,16059.00,0
1340.00,3526.00,3582.00,0.00,16100.00,0
1340.00,3702.00,3572.00,0.00,16140.00,0
1344.00,802.00,3648.00,0.00,16180.00,0
1382.00,858.00,3684.00,0.00,16220.00,0
1694.00,1370.00,4228.00,0.00,16260.00,0
2192.00,1382.00,5250.00,0.00,16301.00,0
2186.00,1428.00,5190.00,0.00,16341.00,0
2170.00,1346.00,4932.00,0.00,16382.00,0
2180.00,1390.00,5134.00,0.00,16423.00,0
2254.00,1354.00,5226.00,0.00,16463.00,0
2152.00,1364.00,5506.00,0.00,16504.00,0
2126.00,1346.00,5768.00,0.00,16544.00,0
2216.00,1330.00,5446.00,0.00,16585.00,0
2180.00,1366.00,5758.00,0.00,16626.00,0
2150.00,1364.00,98.00,0.00,16664.00,0
2206.00,1366.00,1252.00,0.00,16705.00,0
2150.00,1428.00,1524.00,0.00,16745.00,0
2228.00,1446.00,1520.00,0.00,16785.00,0
2218.00,1412.00,1550.00,0.00,16826.00,0
2182.00,1436.00,1518.00,0.00,16866.00,0
2224.00,1442.00,1586.00,0.00,16907.00,0
2182.00,1478.00,1528.00,0.00,16948.00,0
2216.00,1412.00,1586.00,0.00,16988.00,0
2202.00,1474.00,1524.00,0.00,17029.00,0
9814.00,1446.00,1582.00,0.00,17069.00,0
8586.00,1454.00,1494.00,0.00,17110.00,0
8490.00,1432.00,1510.00,0.00,17151.00,0
8320.00,1490.00,1504.00,0.00,17191.00,0
8320.00,11168.00,1494.00,0.00,17233.00,0
7452.00,7136.00,1514.00,0.00,17273.00,0
