curr 0B,curr 1Y,curr 2G,curr 3W,Time,Trial Number,,,,
1.02,8.07,8.01,7.47,voltageMeasure,-1,,,,
0,1128,888,4582,17406,0,2199.333333,,,
0,1232,888,4582,17446,0,2234,,,
0,1232,928,4582,17485,0,2247.333333,,,
0,1232,928,4582,17525,0,2247.333333,,,
0,1238,928,4582,17565,0,2249.333333,,,
0,1238,924,4582,17604,0,2248,,,
0,1238,924,4562,17644,0,2241.333333,,,
0,1242,924,4562,17682,0,2242.666667,,,
0,1242,920,4562,17722,0,2241.333333,,,
0,1242,920,3906,17762,0,2022.666667,,,
0,1246,920,3906,17801,0,2024,,,
0,1246,920,3906,17841,0,2024,,,
0,1246,920,3906,17880,0,2024,,,
0,1246,920,874,17919,0,1013.333333,,,
0,1242,920,874,17958,0,1012,,,
0,1242,918,874,17996,0,1011.333333,,,
0,1242,918,894,18035,0,1018,,,
0,1232,918,894,18073,0,1014.666667,,,
0,1232,920,894,18111,0,1015.333333,,,
0,1232,920,898,18149,0,1016.666667,,,
0,4352,920,898,18188,0,2056.666667,,,
0,4352,882,898,18227,0,2044,,,
0,4352,882,898,18265,0,2044,,,
0,4352,882,898,18304,0,2044,,,
0,4414,3676,898,18343,0,2996,,,
0,4414,3676,898,18383,0,2996,,,
0,4414,3676,898,18423,0,2996,,,
0,2828,3676,898,18462,0,2467.333333,,,
0,2828,2742,898,18502,0,2156,,,
0,2828,2742,902,18541,0,2157.333333,,,
0,3074,2742,902,18580,0,2239.333333,,,
0,3074,2706,902,18620,0,2227.333333,,,
0,3074,2706,898,18659,0,2226,,,
0,564,2706,898,18698,0,1389.333333,,,
0,564,3634,898,18736,0,1698.666667,,,
0,564,3634,846,18775,0,1681.333333,,,
0,564,3634,846,18813,0,1681.333333,,,
0,564,3702,846,18852,0,1704,,,
0,564,3702,846,18891,0,1704,,,
0,564,3702,5128,18930,0,3131.333333,,,
0,554,3702,5128,18970,0,3128,,,
0,554,3762,5128,19009,0,3148,,,
0,554,3762,4906,19048,0,3074,,,
0,550,3762,4906,19088,0,3072.666667,,,
0,550,990,4906,19126,0,2148.666667,,,
0,550,990,4890,19165,0,2143.333333,,,
0,642,990,4890,19203,0,2174,,,
0,642,1078,4890,19243,0,2203.333333,,,
0,642,1078,4890,19282,0,2203.333333,,,
0,642,1078,4880,19322,0,2200,,,
0,638,1082,4880,19362,0,2200,,,
0,638,1082,4880,19401,0,2200,,,
0,638,1082,560,19440,0,760,,,
0,638,1098,560,19477,0,765.3333333,,,
0,638,1098,560,19516,0,765.3333333,,,
0,638,1098,766,19555,0,834,,,
0,616,1098,766,19593,0,826.6666667,,,
0,616,1124,766,19632,0,835.3333333,,,
0,616,1124,774,19670,0,838,,,
0,3152,1124,774,19710,0,1683.333333,,,
0,3152,1058,774,19749,0,1661.333333,,,
0,3152,1058,774,19789,0,1661.333333,,,
0,3152,1058,774,19829,0,1661.333333,,,
0,3928,1084,774,19868,0,1928.666667,,,
0,3928,1084,774,19908,0,1928.666667,,,
0,3928,1084,776,19946,0,1929.333333,,,
0,3906,1084,776,19986,0,1922,,,
0,3906,1084,776,20026,0,1922,,,
0,3906,1084,776,20065,0,1922,,,
0,3992,1084,776,20105,0,1950.666667,,,
0,3992,3710,776,20144,0,2826,,,
0,3992,3710,776,20184,0,2826,,,
0,684,3710,776,20223,0,1723.333333,,,
0,684,3938,776,20261,0,1799.333333,,,
0,684,3938,776,20300,0,1799.333333,,,
0,684,3938,776,20338,0,1799.333333,,,
0,560,4502,776,20377,0,1946,,,
0,560,4502,776,20414,0,1946,,,
0,560,4502,3312,20454,0,2791.333333,,,
0,554,4594,3312,20494,0,2820,,,
